iter	Logloss
0	0.6787907636
1	0.6635735123
2	0.6512911761
3	0.6331462154
4	0.624513555555	0.6111400746	6	0.600137497	07	0.5885548	0.5758083838
9	0.59	0.56616810	0.10	0.55501511	1111	0.52989812	0.12	0.5338093791313	0.52229414	0.14	0.51206015	115	0.500628516	016	0.489058917	017	0.477105818	018	0.4686999498119	0.4597538842220	0.4518096359221	0.441796762
22	0.4330373693
23	0.4267326638
24	0.4193290781
25	0.4104150843
26	0.4010815091
27	0.3926077949
28	0.3853661219
29	0.3791773761
30	0.3718084406
31	0.3648136633
32	0.3589936362
33	0.3526014399
34	0.3461468308
35	0.3397033479
36	0.3319868863737	0.3252758803838	0.3181189783939	0.3131563394040	0.30854557141	0.277285258
42	0.2712863816
43	0.2657423726
44	0.260513288
45	0.255745093
46	0.2510951537
47	0.2472117212
48	0.2424636417
49	0.2377488525
50	0.2336517263
51	0.2289713047
52	0.2253398189
53	0.2213736993
54	0.2179248598
55	0.2140971466
56	0.2099369897
57	0.2058653655
58	0.2026798107
59	0.1997766495
60	0.1962674106
61	0.1930303397
62	0.1898403698
63	0.186267164
64	0.1836903537
65	0.1806951276
66	0.1782384802
67	0.1753081216
68	0.1728393767
69	0.1704200285
70	0.1675768958
71	0.1652908502
72	0.1631470786
73	0.160627736
74	0.1584226644
75	0.1559276228
76	0.1541715198
77	0.1518432299
78	0.1495766286
79	0.1472292653
80	0.1447276098
81	0.142338064
82	0.1400159818
83	0.1378167912
84	0.1356784856
85	0.1340381128
86	0.1319415481
87	0.1304443147
88	0.1285655763
89	0.1267161634
9090	0.1290759599191	0.12729095592	0.1224540251
93	0.1207498798
94	0.119223471
95	0.1175342842
96	0.1155364955
97	0.1140790869
98	0.1126352328
99	0.1113580245
100	0.1098417176
101	0.1085997423
102	0.1071702109
103	0.1058530278
104	0.104660617
105	0.1032256903
106	0.1020334473
107	0.1005173348
108	0.09923469579
109	0.09813395253
110	0.09682732158
111	0.09579534884
112	0.09459007228
113	0.09381693381
114	0.09285697231
115	0.09172936722
116	0.09046705564
117	0.08945870399
118	0.08850884438
119	0.08769777086
120	0.08699886887
121	0.08591181261
122	0.08507785091
123	0.08409309387
124	0.08289153488
125	0.08197644905
126	0.08118352184
127	0.08035431968
128	0.07939433168
129	0.07865626724
130	0.07783889771
131	0.07689758583
132	0.07597135614
133	0.075331476
134	0.07456641727
135	0.073766832
136	0.07279589441
137	0.07180398482
138	0.0711888119
139	0.0704647126
140	0.06967224015
141	0.06898200953
142	0.06835431523
143	0.06762173441
144	0.06686562962
145	0.06624163522
146	0.06551995984
147	0.06475290987
148	0.06421982801
149	0.06355471964
150	0.06272644908
151	0.06216217853
152	0.06162839907
153	0.06102705885
154	0.06040237127
155	0.05996302322
156	0.05930813154
157	0.05886579001
158	0.05830394339
159	0.05784296989
160	0.05725914902
161	0.05693018878
162	0.163	0.069907163	0.164	0.069324164	0.165	0.068636165	0.166	0.067772166	0.167	0.067327167	0.168	0.066930168	0.169	0.066250169	0.05321299588
170	0.171	0.065335171	0.172	0.064678172	0.173	0.064077173	0174	0.0637104174	0175	0.0630956175	0176	0.0625985176	0177	0.0621745177	0178	0.0617402178	0179	0.0612517179	180	0.06063938582
181	0.06002625181	182	0.05944660182	183	0.05906792183184	0.05858048245
185	0.05820895566
186	0.057669401186187	0.057237695187188	0.056759476188189	0.05638033372
190	0.05589207896
191	0.05547843156
192	0.05514985544
193	0.0547085868
194	0.05438445233
195	0.05391254691196	0.05355639811
197	0.05307230243
198	0.05264635881
199	0.05225266792
200	0.05190129633
201	0.05159646493
202	0.0512696637
203	0.05088499299
204	0.05035889149
205	0.05001365255
206	0.04969890912
207	0.04941404307
208	0.04910929115
209	0.04868020835
210	0.04834864316
211	0.04801444654
212	0.04765105247
213	0.04732239246
214	0.04708606667
215	0.046836619215216	0.046442597
217	0.04616743547
218	0.04587080744
219	0.045650632292220	0.04537608447
221	0.04506961946
222	0.04482338605
223	0.04448892452
224	0.04416398649
225	0.04383207692
226	0.04362875444
227	0.04332346386
228	0.04298947476
229	0.042707884752230	0.042310176072231	0.04212054058
232	0.04185527342
233	0.04167603122
234	0.04147275289
235	0.04122337147
236	0.04101672879
237	0.04080564887
238	0.04052235904
239	0.04019090864
240	0.03994367299
241	0.03964098295
242	0.03936723427
243	0.039104947243244	0.038846987244245	0.038689101245246	0.03850099334
247	0.03829523369
248	0.03810071504
249	0.03785375249	250	0.03761227250	251	0.037285251	0.252	0.037070252	0.253	0.036838253	0.254	0.036633254	0.255	0.036379255	0.256	0.036182256	0.257	0.036033257	0.258	0.035847258	0.02832036107
259	0.02808667554
260	0.02794373256
261	0.0278448308
262	0.02769936456
